Kellogg Co,KeyCorp,Kimberly-Clark Corp,Kimco Realty Corp,Kinder Morgan Inc,KLA-Tencor Corp,Kohls Corp,Kraft Heinz Co,Kroger Co,L Brands Inc,L-3 Communications Holdings Inc,Laboratory Corporation of America Holdings,Lam Research Corp,Legg Mason Inc,Leggett & Platt Inc,Lennar Corp,Leucadia National Corp,Level 3 Communications Inc,Lincoln National Corp,Linear Technology Corp
LKQ Corp,Lockheed Martin Corp,Loews Corp,Lowe's Companies Inc,LyondellBasell Industries NV,M&T Bank Corp,Macerich Co,Macy's Inc,Mallinckrodt Plc,Marathon Oil Corp,Marathon Petroleum Corp,Marriott International Inc,Marsh & McLennan Companies Inc,Martin Marietta Materials Inc,Masco Corp,MasterCard Inc,Mattel Inc,McCormick & Company Inc,McDonald's Corp,McKesson Corp
Mead Johnson Nutrition Co,Medtronic PLC,Merck & Co Inc,Metlife Inc,Mettler-Toledo International Inc,Michael Kors Holdings Ltd,Microchip Technology Inc,Micron Technology Inc,Microsoft Corp,Mohawk Industries Inc,Molson Coors Brewing Co,Mondelez International Inc,Monsanto Co,Monster Beverage Corp,Moody's Corp,Morgan Stanley,Mosaic Co,Motorola Solutions Inc,Murphy Oil Corp,Mylan NV
Nasdaq Inc,National Oilwell Varco Inc,Navient Corp,NetApp Inc,Netflix Inc,Newell Brands Inc,Newfield Exploration Co,Newmont Mining Corp,News Corp,News Corp,NextEra Energy Inc,Nielsen Holdings PLC,Nike Inc,NiSource Inc,Noble Energy Inc,Nordstrom Inc,Norfolk Southern Corp,Northern Trust Corp,NORTHROP GRUMMAN CORP,NRG Energy Inc
Nucor Corp,NVIDIA Corp,O'Reilly Automotive Inc,Occidental Petroleum Corp,Omnicom Group Inc,ONEOK Inc,Oracle Corp,Owens-Illinois Inc,PACCAR Inc,Parker-Hannifin Corp,Patterson Companies Inc,Paychex Inc,PayPal Holdings Inc,Pentair plc,People's United Financial Inc,PepsiCo Inc,PerkinElmer Inc,Perrigo Company PLC,Pfizer Inc,PG&E Corp
Philip Morris International Inc,Phillips 66,Pinnacle West Capital Corp,Pioneer Natural Resources Co,Pitney Bowes Inc,PNC Financial Services Group Inc,PPG Industries Inc,PPL Corp,Praxair Inc,Priceline Group Inc,Principal Financial Group Inc,Procter & Gamble Co,Progressive Corp,Prologis Inc,Prudential Financial Inc,Public Service Enterprise Group Inc,Public Storage,PulteGroup Inc,PVH Corp,Qorvo Inc
Qualcomm Inc,Quanta Services Inc,Quest Diagnostics Inc,Ralph Lauren Corp,Range Resources Corp,Raytheon Co,Realty Income Corp,Red Hat Inc,Regeneron Pharmaceuticals Inc,Regions Financial Corp,Republic Services Inc,Reynolds American Inc,Robert Half International Inc,Rockwell Automation Inc,Rockwell Collins Inc,Roper Technologies Inc,Ross Stores Inc,Royal Caribbean Cruises Ltd,Ryder System Inc,S&P Global Inc
Salesforce.com Inc,SCANA Corp,Schlumberger NV,Scripps Networks Interactive Inc,Seagate Technology PLC,Sealed Air Corp,Sempra Energy,Sherwin-Williams Co,Signet Jewelers Ltd,Simon Property Group Inc,Skyworks Solutions Inc,SL Green Realty Corp,Snap-On Inc,Southern Co,Southwest Airlines Co,Southwestern Energy Co,Spectra Energy Corp,St. Jude Medical Inc,Stanley Black & Decker Inc,Staples Inc
Starbucks Corp,State Street Corp,Stericycle Inc,Stryker Corp,SunTrust Banks Inc,Symantec Corp,Synchrony Financial,Sysco Corp,T. Rowe Price Group Inc,Target Corp,TE Connectivity Ltd,Tegna Inc,Teradata Corp,Tesoro Corp,Texas Instruments Inc,Textron Inc,Thermo Fisher Scientific Inc,Tiffany & Co,Time Warner Inc,TJX Companies Inc
Torchmark Corp,Total System Services Inc,Tractor Supply Co,TransDigm Group Inc,Transocean Ltd,Travelers Companies Inc,TripAdvisor Inc,Twenty-First Century Fox Inc,Twenty-First Century Fox Inc,Tyson Foods Inc,U.S. Bancorp,UDR Inc,Ulta Salon Cosmetics and Fragrance Inc,Under Armour Inc,Under Armour Inc,Union Pacific Corp,United Continental Holdings Inc,United Parcel Service Inc,United Rentals Inc,United Technologies Corp
UnitedHealth Group Inc,Universal Health Services Inc,Unum Group,Urban Outfitters Inc,Valero Energy Corp,Varian Medical Systems Inc,Ventas Inc,Verisign Inc,Verisk Analytics Inc,Verizon Communications Inc,Vertex Pharmaceuticals Inc,VF Corp,Viacom Inc,Visa Inc,Vornado Realty Trust,Vulcan Materials Co,W W Grainger Inc,Wal Mart Stores Inc,Walgreens Boots Alliance Inc,Walt Disney Co
Waste Management Inc,Waters Corp,WEC Energy Group Inc,Wells Fargo & Co,Welltower Inc,Western Digital Corp,Western Union Co,WestRock Co,Weyerhaeuser Co,Whirlpool Corp,Whole Foods Market Inc,Williams Companies Inc,Willis Towers Watson PLC,Wyndham Worldwide Corp,Wynn Resorts Ltd,Xcel Energy Inc,Xerox Corp,Xilinx Inc,XL Group Ltd,Xylem Inc
Yahoo! Inc,Yum! Brands Inc,Zimmer Biomet Holdings Inc,Zions Bancorp,Zoetis Inc
